bidder,wild tract bids,strict neighbor bids,existing bg bids,average neighbors per bid,num bids,average final round number,wild tract bids winner,strict neighbor bids winner,existing bg bids winner,average neighbors per bid winner,num wins,average final round number winner,won blocks in wild tract bg,won blocks in strict neighbor bg,won blocks in existing bg,total blocks won
4-Corners Consortium,74,0,0,0,74,14.5,2,0,0,0,2,13.0,104,0,0,104
AB Indiana LLC,144,0,0,0,144,14.42361111111111,1,0,0,0,1,13.0,20,0,0,20
ACT,7,0,0,0,7,10.0,2,0,0,0,2,13.0,89,0,0,89
"ATN International, Inc.",17044,0,0,0,17044,10.482281154658532,27,0,0,0,27,13.222222222222221,1435,0,0,1435
"Blue Ridge Cable Technologies, Inc.",2,0,0,0,2,13.0,0,0,0,0,0,0.0,0,0,0,0
"Bug Tussel Wireless, LLC",398,0,0,0,398,13.077889447236181,0,0,0,0,0,0.0,0,0,0,0
"Carolina West Wireless, Inc.",36,0,0,0,36,12.555555555555555,6,0,0,0,6,13.0,6,0,0,6
"Cass Cable TV, Inc.",10,0,0,0,10,10.6,0,0,0,0,0,0.0,0,0,0,0
Central Broadband Consortium,122,0,0,0,122,14.0,0,0,0,0,0,0.0,0,0,0,0
"Centre WISP Venture Company, LLC",57,0,0,0,57,12.824561403508772,22,0,0,0,22,13.772727272727273,735,0,0,735
Citizens Consortium,7,0,0,0,7,7.0,0,0,0,0,0,0.0,0,0,0,0
City of Farmington,10,0,0,0,10,13.0,6,0,0,0,6,13.0,171,0,0,171
Cloverland Electric Cooperative,33,0,0,0,33,4.0,0,0,0,0,0,0.0,0,0,0,0
Co-op Connections Consortium,289,0,0,0,289,13.96885813148789,180,0,0,0,180,14.583333333333334,3866,0,0,3866
Concho Valley Electric Cooperative Inc,14,0,0,0,14,15.857142857142858,0,0,0,0,0,0.0,0,0,0,0
Connecting Rural America,191,0,0,0,191,15.151832460732985,41,0,0,0,41,13.121951219512194,736,0,0,736
Consortium 2020,763,0,0,0,763,17.83748361730013,319,0,0,0,319,18.836990595611287,12941,0,0,12941
Consortium 904,222,0,0,0,222,13.653153153153154,1,0,0,0,1,15.0,19,0,0,19
Consortium of AEG and Heron Broadband I,1158,0,0,0,1158,12.892055267702936,141,0,0,0,141,13.120567375886525,5899,0,0,5899
"Digital Path, Inc.",115,0,0,0,115,10.921739130434782,0,0,0,0,0,0.0,0,0,0,0
Docomo Pacific,8,0,0,0,8,12.375,7,0,0,0,7,13.0,87,0,0,87
Dovetel Communications LLC,15,0,0,0,15,16.466666666666665,0,0,0,0,0,0.0,0,0,0,0
