,bidder,t+l_weight,tier,latency,TechCode
0,"1stel, Inc.",20,Above Baseline,Low,"{40, 70, 50, 30}"
1,4-Corners Consortium,20,Above Baseline,Low,
2,AB Indiana LLC,20,Above Baseline,Low,
3,ACT,0,Gigabit,Low,
4,"AMA Communicaitons, L.L.C.",20,Above Baseline,Low,"{70, 10, 42, 11, 50, 30}"
5,AMG Technology Investment Group LLC,0,Gigabit,Low,"{50, 70}"
6,AirCell,20,Above Baseline,Low,{70}
7,"Albion Telephone Company, Inc.",0,Gigabit,Low,"{50, 11, 70}"
8,"All West Communications, Inc.",0,Gigabit,Low,"{70, 10, 42, 12, 50}"
9,"Allen's TV Cable Service, Inc.",0,Gigabit,Low,"{50, 43}"
10,Altice,20,Above Baseline,Low,"{41, 42, 43, 50}"
11,"Alyrica Networks, Inc.",20,Above Baseline,Low,"{50, 11, 70, 30}"
12,Farmers Telephone Company,0,Gigabit,Low,{50}
13,Amherst Telephone Company,0,Gigabit,Low,"{50, 11}"
14,Aptitude Internet LLC,0,Gigabit,Low,{70}
15,"Armstrong Holdings, Inc.",0,Gigabit,Low,"{10, 43, 50, 42}"
16,"Arrowhead Electric Cooperative, Inc.",0,Gigabit,Low,{50}
17,"Atlantic Broadband Finance, LLC",0,Gigabit,Low,"{50, 43}"
18,Atlantic Telephone Membership Corporation,0,Gigabit,Low,"{42, 11, 12, 50, 20}"
19,"B2X Online, Inc.",50,Minimum,Low,{70}
20,BEK Communications Cooperative,0,Gigabit,Low,{50}
21,"Baldwin Telecom, Inc.",0,Gigabit,Low,"{42, 11, 50}"
22,"Bandera Electric Cooperative, Inc.",0,Gigabit,Low,{50}
23,Baraga Telephone Company Inc.,0,Gigabit,Low,"{50, 11, 70}"
24,Barry Technology Services,0,Gigabit,Low,{50}
25,"Bay Springs Telephone Company, Inc.",0,Gigabit,Low,"{50, 11, 20, 30}"
26,Bays-ET Highspeed Internet LLC,0,Gigabit,Low,"{50, 70, 30}"
27,Benton Ridge Telephone Company,20,Above Baseline,Low,"{10, 50, 70}"
28,"Big Bend Telephone Company, Inc.",0,Gigabit,Low,"{50, 11, 60, 70}"
29,"Blackfoot Telephone Cooperative, Inc.",0,Gigabit,Low,"{70, 10, 11, 12, 50, 20, 30}"
30,Bloosurf,35,Baseline,Low,"{50, 70}"
31,"Blue Ridge Cable Technologies, Inc.",0,Gigabit,Low,{43}
32,Bluestem Network LLC,0,Gigabit,Low,"{50, 70}"
33,Broadband Corp,20,Above Baseline,Low,"{50, 70}"
34,"Bruce Telephone Company, Inc.",0,Gigabit,Low,"{10, 12, 50}"
35,"Bug Tussel Wireless, LLC",50,Minimum,Low,{70}
36,Charter Communications Inc,0,Gigabit,Low,"{50, 43}"
37,"Cal.net, Inc.",0,Gigabit,Low,{70}
38,GeoLinks,0,Gigabit,Low,"{50, 70}"
39,"Cambridge Telephone Company, Inc.",50,Minimum,Low,"{50, 11, 12, 70}"
40,"Carolina West Wireless, Inc.",50,Minimum,Low,{70}
41,"Cass Cable TV, Inc.",0,Gigabit,Low,
42,Cellular Services LLC,0,Gigabit,Low,{50}
43,"Central Arkansas Telephone Cooperative, Inc.",0,Gigabit,Low,"{50, 11}"
44,Central Broadband Consortium,20,Above Baseline,Low,
45,"Central Texas Telephone Cooperative, Inc.",0,Gigabit,Low,"{70, 50, 11, 30}"
46,"Centre WISP Venture Company, LLC",0,Gigabit,Low,
47,"CenturyLink, Inc.",0,Gigabit,Low,"{70, 10, 11, 12, 50, 30}"
48,Chariton Valley Communications Corporation,0,Gigabit,Low,{50}
49,"Cherry Capital Connection, LLC",0,Gigabit,Low,"{50, 70, 30}"
50,Cincinnati Bell Inc.,0,Gigabit,Low,"{10, 42, 12, 11, 50, 30}"
51,Citizens Consortium,0,Gigabit,Low,
52,Citizens Telephone Company,0,Gigabit,Low,"{40, 10, 50}"
53,City of Farmington,0,Gigabit,Low,
54,City of Wilson,0,Gigabit,Low,{50}
55,"Citynet, LLC",0,Gigabit,Low,"{50, 70, 30}"
