bidder,neighbor winner average final round number,neighbor winner neighbors per bid,neighbor winner any neighbors per bid,wild tract winner average final round number,wild tract winner average neighbors per bid,wild tract winner average any neighbors per bid,existing winner average final round number,existing winner average neighbors per bid,existing winner average any neighbors per bid,winner average final round number,winner average neighbors per bid,winner average any neighbors per bid,neighbor bg bids,neighbor average final round number,neighbor blocks won,neighbor neighbors per bid,neighbor any neighbors per bid,neighbor num wins,wild tract bg bids,wild tract average final round number,wild tract blocks won,wild tract average neighbors per bid,wild tract average any neighbors per bid,wild tract num wins,existing bg bids,existing average final round number,existing blocks won,existing average neighbors per bid,existing average any neighbors per bid,existing num wins,num bids,average final round number,total blocks won,average neighbors per bid,average any neighbors per bid,num wins,wins/bid,blocks/win
AMG Technology Investment Group LLC,17.95402298850575,2.0344827586206895,8.666666666666666,17.475806451612904,0.0,8.116935483870968,18.011627906976745,7.286821705426356,8.271317829457365,17.57392253136934,1.122204037097654,8.164757228587016,330.0,15.233333333333333,2500.0,1.809090909090909,8.090909090909092,87.0,18419.0,8.896682773223302,45842.0,0.0,7.780932732504479,1488.0,757.0,15.352708058124174,6618.0,6.966974900924702,7.973579920739763,258.0,19506,9.254434532964217,54960,0.30098431251922486,7.793653234902082,1833,0.09397108581974777,29.983633387888705
"Albion Telephone Company, Inc.",13.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,12.0,1.0,13.0,29.0,2.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.0,29,2.0,12.0,1,1.0,29.0
"Allen's TV Cable Service, Inc.",16.0,2.0,6.5,0.0,0.0,0.0,14.5,4.875,6.875,14.8,4.3,6.8,3.0,17.0,8.0,2.3333333333333335,6.666666666666667,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,16.428571428571427,49.0,5.571428571428571,8.0,8.0,17,16.529411764705884,57,5.0,7.764705882352941,10,0.5882352941176471,5.7
Altice,15.6,1.4,5.8,16.0,0.0,5.5,15.257142857142858,5.485714285714286,6.542857142857143,15.363636363636363,4.5227272727272725,6.363636363636363,59.0,13.288135593220339,46.0,2.694915254237288,6.711864406779661,5.0,32.0,13.8125,27.0,0.0,5.03125,4.0,344.0,13.82267441860465,352.0,5.462209302325581,7.049418604651163,35.0,435,13.749425287356322,425,4.685057471264368,6.855172413793103,44,0.10114942528735632,9.659090909090908
Aptitude Internet LLC,19.0,1.5,8.5,17.393939393939394,0.0,7.9393939393939394,0.0,0.0,0.0,17.485714285714284,0.08571428571428572,7.9714285714285715,14.0,14.428571428571429,25.0,1.0714285714285714,7.857142857142857,2.0,200.0,14.33,1798.0,0.0,6.99,33.0,2.0,9.0,0.0,1.5,8.5,0.0,216,14.287037037037036,1823,0.08333333333333333,7.060185185185185,35,0.16203703703703703,52.08571428571429
"Armstrong Holdings, Inc.",13.333333333333334,1.3333333333333333,8.083333333333334,13.660377358490566,0.0,7.69811320754717,14.471698113207546,7.471698113207547,7.490566037735849,13.991525423728813,3.4915254237288136,7.6440677966101696,21.0,11.571428571428571,187.0,1.9047619047619047,8.19047619047619,12.0,60.0,13.116666666666667,660.0,0.0,7.65,53.0,111.0,12.36936936936937,589.0,7.297297297297297,7.576576576576577,53.0,192,12.515625,1436,4.427083333333333,7.666666666666667,118,0.6145833333333334,12.169491525423728
"Atlantic Broadband Finance, LLC",19.0,4.0,6.0,0.0,0.0,0.0,16.0,6.0,7.142857142857143,16.375,5.75,7.0,2.0,16.0,33.0,5.0,7.0,1.0,1.0,14.0,0.0,0.0,4.0,0.0,16.0,15.375,403.0,6.4375,7.125,7.0,19,15.368421052631579,436,5.947368421052632,6.947368421052632,8,0.42105263157894735,54.5
BEK Communications Cooperative,16.857142857142858,1.7142857142857142,8.428571428571429,16.5,0.0,8.0,16.727272727272727,5.454545454545454,8.909090909090908,16.75,3.6,8.65,8.0,17.125,59.0,1.625,8.25,7.0,7.0,18.285714285714285,7.0,0.0,8.285714285714286,2.0,15.0,17.333333333333332,77.0,5.266666666666667,8.466666666666667,11.0,30,17.5,143,3.066666666666667,8.366666666666667,20,0.6666666666666666,7.15
"Bandera Electric Cooperative, Inc.",15.5,2.0,10.5,15.0,0.0,6.0,14.0,6.0,7.714285714285714,14.642857142857142,3.5714285714285716,8.142857142857142,6.0,12.666666666666666,59.0,1.6666666666666667,10.0,4.0,23.0,8.782608695652174,6.0,0.0,7.130434782608695,3.0,11.0,14.454545454545455,44.0,5.909090909090909,8.545454545454545,7.0,40,10.925,109,1.875,7.95,14,0.35,7.785714285714286
Barry Technology Services,14.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,8.0,2.0,14.0,8.0,2.5,7.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,14.0,8,2.5,7.5,1,0.5,8.0
